Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Jätkäsaari,40.0,244000,6100,2021,1,1,B2018,2,0,3,7
Kamppi,45.0,370000,8222,1929,1,1,,2,0,5,6
Koskela,57.5,148000,2574,1972,1,2,F2013,2,0,1,6
Maunula,62.4,222000,3558,1953,0,2,E2007,2,0,3,3
Kannelmäki,51.0,176000,3451,1958,0,1,,2,0,4,4
Alppila,36.0,230000,6389,1961,0,1,G2018,2,0,3,4
Aurinkolahti,53.5,238000,4449,2007,1,1,C,2,1,2,3
Itä-pasila,56.5,223000,3947,1977,1,2,F2013,2,1,11,13
Punavuori,58.0,386000,6655,1952,1,2,E2014,2,0,4,5
Kamppi,62.0,448000,7226,1935,1,1,F2013,2,0,4,5
Kuninkaantammi,44.0,229000,5205,2018,1,1,C2013,2,1,2,4
Jätkäsaari,47.5,273125,5750,2021,1,1,B2018,2,0,1,7
Tapulikaupunki,49.0,138000,2816,1980,0,1,,2,0,2,3
Pohjois-haaga,49.5,250000,5051,1954,0,1,,2,0,1,4
Punavuori,50.0,294000,5880,1961,1,2,E2007,2,0,4,5
Töölö,52.0,365000,7019,1928,1,2,F2015,2,0,5,6
Kruununhaka,80.0,620000,7750,1904,1,1,D2007,2,0,4,6
Hakaniemi,40.5,280000,6914,1996,0,2,,2,1,3,8
Jätkäsaari,45.0,288000,6400,2021,1,1,B2018,2,0,5,5
Mellunmäki,52.0,135000,2596,1978,1,2,E2013,2,0,4,5
Vuosaari,53.0,140500,2651,1965,0,2,,2,0,1,3
"Meilahti, taka-töölö, töölö",55.0,338000,6145,1939,0,1,,2,0,2,6
Lassila,57.5,225000,3913,1982,0,1,,2,1,3,3
Kallio,40.0,236000,5900,1962,0,1,,2,0,4,8
Tapanila,46.5,186000,4000,1990,0,1,,2,0,1,3
Pohjois-haaga,65.0,260500,4008,1954,0,2,E2007,2,0,1,4
Punavuori,37.4,280000,7487,1936,0,1,,1,0,2,4
Munkkivuori,42.0,190000,4524,1958,0,3,G2013,2,0,2,4
Malmi,49.0,167000,3408,1987,0,1,D2007,2,1,3,3
Toukola,49.0,253000,5163,1962,0,1,F2013,2,0,3,3
Meilahti,50.0,280000,5600,1942,1,2,D2007,2,0,6,6
Hermanni,52.0,322500,6202,2008,1,1,E2013,2,1,1,5
Herttoniemenranta,54.0,315000,5833,2007,1,1,E2018,2,1,4,7
Kallio,58.0,289101,4984,1972,1,1,,2,0,1,6
Etu-töölö,62.0,339000,5468,1934,1,2,D,2,0,1,7
Kruununhaka,38.0,325000,8553,1939,0,1,,2,0,5,6
Puistola,42.5,160000,3765,1987,0,1,,2,1,1,2
Vuosaari,56.0,169000,3018,1965,0,2,,2,0,4,4
Puotila,47.5,157000,3305,1961,0,2,E2007,2,0,1,3
Vartiokylä,51.0,201000,3941,1964,1,1,F2007,2,0,2,6
Puotila,46.5,147000,3161,1969,0,1,E,2,0,3,3
Kruununhaka,49.5,450000,9091,1850,1,1,E2013,2,0,1,5
Etelä-haaga,51.0,250000,4902,1953,0,1,E2007,2,0,2,3
Kallio,55.0,328500,5973,1962,1,2,D2007,2,0,4,7
Meilahti,35.0,205665,5876,1945,1,2,E2007,2,0,1,7
Meilahti,35.0,272000,7771,1946,1,1,F2007,2,0,7,8
Viikinmäki,48.0,215000,4479,2005,1,1,C2018,2,0,2,8
Lauttasaari,50.0,300000,6000,1945,0,1,,1,0,4,4
Taka-töölö,71.5,599800,8389,2001,1,1,,2,1,2,7
Jätkäsaari,40.0,250000,6250,2021,1,1,B2018,2,0,4,7
Tapaninkylä,52.0,134000,2577,1966,0,2,E2013,2,0,2,3
Kallio,69.0,340000,4928,1960,1,1,,2,0,1,6
Taka-töölö,39.0,311000,7974,1929,1,1,,2,0,4,6
Ullanlinna,43.0,339000,7884,1962,1,1,,2,0,2,6
Töölö,55.0,395000,7182,1932,0,1,,1,0,4,6
Pukinmäki,56.5,153000,2708,1982,1,2,,2,0,2,5
Oulunkylä,59.0,175512,2975,1972,0,2,E2007,2,0,3,3
Ruskeasuo,52.0,316000,6077,1949,0,1,,2,0,3,3
Jätkäsaari,45.0,272250,6050,2021,1,1,B2018,2,0,2,5
Herttoniemi,50.0,237000,4740,1954,0,1,E2007,2,0,3,4
Kallio,53.5,290000,5421,1914,1,2,,2,0,4,6
Laajasalo,55.0,161000,2927,1967,0,2,F2007,2,0,4,4
Kallio,72.0,290000,4028,1908,0,2,E2007,2,0,2,5
Hermanni,40.0,204000,5100,1959,0,2,,2,0,2,4
Kannelmäki,60.0,138000,2300,1974,0,2,E2007,2,0,2,3
Punavuori,36.0,299000,8306,1962,1,1,F,2,0,3,5
Töölö,46.5,300000,6452,1979,1,1,C2007,2,0,5,6
Katajanokka,53.0,506000,9547,1940,1,1,,2,0,4,8
Taka-töölö,60.0,383000,6383,1939,0,1,,2,0,6,7
Pohjois-haaga/lassila,60.5,194000,3207,1982,0,2,,2,1,2,6
Ruskeasuo,39.0,248031,6360,1948,0,2,E2007,2,0,1,3
Kallio,41.5,279000,6723,1961,1,1,G2013,2,0,8,9
Maunula,44.5,191366,4300,1964,1,1,F,2,0,3,4
Laajasalo,58.4,157000,2688,1970,0,2,,2,0,3,3
Munkkivuori,41.5,230000,5542,1962,1,2,E2018,2,0,1,4
Jätkäsaari,43.0,255850,5950,2021,1,1,B2018,2,0,2,5
Puotila,44.0,147000,3341,1961,0,2,F,2,0,3,3
Laajasalo,51.0,195000,3824,1966,1,2,F2018,2,1,4,5
Malminkartano,53.5,244000,4561,2015,1,1,C2013,2,0,3,4
Vuosaari,53.5,172000,3215,1965,0,1,,2,1,2,3
Tapanila,57.5,208000,3617,1986,0,1,,2,1,2,2
Pihlajamäki,39.5,145000,3671,1962,0,1,E2007,2,0,1,4
Konala,40.0,135000,3375,1964,0,2,E2007,2,0,2,3
Alppila,42.5,302000,7106,1926,0,2,F2013,2,0,4,4
Pukinmäki,47.5,155000,3263,1989,1,2,C,2,0,3,5
Puotila,50.0,181000,3620,1961,0,1,,2,0,3,3
Ullanlinna,50.0,416000,8320,1963,1,3,F2013,2,0,5,8
Aurinkolahti,51.0,250000,4902,2012,1,1,B2007,2,1,1,6
Aurinkolahti,53.5,318000,5944,2002,1,2,C2007,2,1,2,5
Munkkiniemi,59.0,371000,6288,1954,1,2,E2007,2,0,3,5
Aurinkolahti,59.5,245000,4118,2000,1,1,G,2,1,4,8
Maunula,62.0,400000,6452,2015,1,1,C2013,2,1,1,2
Kallio,36.0,250000,6944,1938,0,2,G2013,2,0,3,3
Vuosaari,43.5,238500,5483,2006,1,1,E,2,0,8,26
Kamppi,44.5,340000,7640,1939,0,1,,2,0,5,5
Kamppi,49.0,273000,5571,1974,1,2,E2013,2,0,1,6
Munkkisaari,52.0,370000,7115,1928,0,2,,2,0,5,8
Veräjämäki,53.0,166072,3133,1976,0,2,F2013,2,1,2,2
Kontula,53.5,145856,2726,1966,1,2,G2013,2,0,6,8
Kannelmäki,59.0,204000,3458,1967,1,1,E2013,2,1,1,3
Lassila,60.0,187000,3117,1979,1,2,F,2,1,6,6
Pukinmäki,60.0,192000,3200,1990,1,1,E2007,2,1,2,4
Käpylä,40.0,231500,5788,1950,0,2,G2013,2,0,1,4
Kontula,42.5,109000,2565,1968,1,1,G2013,2,0,2,8
Herttoniemi,45.0,243000,5400,1951,0,1,,2,0,2,2
Munkkivuori,49.0,247000,5041,1958,1,2,F2013,2,1,5,6
Munkkivuori,49.8,229000,4598,1957,0,1,,2,0,1,5
Kruununhaka,58.0,415000,7155,1928,1,1,D2007,2,0,2,5
Tapulikaupunki,60.0,126000,2100,1978,0,2,D2007,2,1,1,4
Pihlajamäki,66.0,125000,1894,1965,1,2,E,2,0,1,8
Ullanlinna,70.0,488000,6971,1929,1,1,F2013,2,0,5,5
Töölö,35.0,271000,7743,1935,1,1,F2013,2,0,1,6
Munkkisaari,37.0,280000,7568,1938,0,1,E2018,2,0,4,5
Herttoniemi,37.5,245000,6533,2018,0,1,,2,0,4,8
Kannelmäki,38.0,164000,4316,1962,0,1,,2,0,1,3
Kruununhaka,41.0,345000,8415,1954,0,1,,2,0,3,8
Meilahti,42.0,306828,7305,1940,0,1,E2007,2,0,2,3
Munkkivuori,44.0,246840,5610,1958,1,2,E2007,2,0,7,7
Puotinharju,46.0,138000,3000,1962,1,3,E2007,2,0,3,7
Haaga,49.0,220500,4500,1953,0,2,E2013,2,0,2,3
Herttoniemi,49.0,247000,5041,1956,0,1,E2007,2,0,2,4
Lauttasaari,50.0,325000,6500,1945,0,1,,2,0,1,4
Laajasalo,51.5,207000,4019,1965,1,1,E2010,2,1,1,3
"pitäjänmäki, reimarla",64.5,170000,2636,1973,0,1,,2,1,5,5
Mellunmäki,38.5,139000,3610,1992,1,2,D2007,2,1,2,5
Pukinmäki,53.5,128000,2393,1971,0,1,,2,1,2,3
Kruununhaka,54.3,420000,7735,1926,1,2,G2013,2,0,4,7
Oulunkylä,54.5,225000,4128,1965,0,1,E2007,2,0,3,3
Etu-töölö,67.0,469423,7006,1922,1,1,G2013,2,0,4,6
Kamppi,70.0,587000,8386,1928,0,1,,2,0,5,6
Kuninkaantammi,35.5,195160,5497,2018,1,1,C2013,2,1,3,4
Sörnäinen,55.0,333000,6055,2002,1,1,F2013,2,1,3,9
Kumpula,57.0,252000,4421,1987,0,2,F2013,2,0,3,3
Arabianranta,40.5,290000,7160,2015,0,1,,2,0,2,4
Kallio,51.0,315000,6176,1962,1,1,G2013,2,0,6,7
Malminkartano,57.5,162500,2826,1989,0,2,,2,1,2,3
Vuosaari,60.0,230000,3833,2000,1,2,E2007,2,1,4,8
Herttoniemenranta,63.0,315000,5000,2000,1,1,F,2,1,1,4
Punavuori,35.0,272500,7786,1961,0,2,,2,0,2,6
Taka-töölö,36.0,290600,8072,1939,0,1,,2,0,4,6
Puistola,44.0,179000,4068,2001,0,1,,2,1,6,7
Maununneva,46.0,195000,4239,2000,0,3,B2007,2,1,1,2
Pohjois-haaga,55.5,231000,4162,1954,0,2,E2007,2,0,3,3
Koskela,57.3,133000,2321,1973,1,2,G2013,2,0,6,6
Taka-töölö,46.0,328000,7130,1936,1,2,F2013,2,0,4,6
Tammisalo,51.0,149000,2922,1973,0,1,,2,0,1,2
Pohjois-haaga,52.0,220000,4231,1959,0,2,,2,0,4,4
Pihlajamäki,52.5,118000,2248,1964,0,2,E2018,2,1,1,3
Kivikko,52.5,190000,3619,2014,0,1,A,2,0,3,3
Katajanokka,58.5,382000,6530,1901,0,2,G2007,2,0,1,4
Kallio,35.0,267000,7629,1996,0,2,,2,0,7,8
Jätkäsaari,45.0,323700,7193,2020,0,1,,2,0,2,12
Ullanlinna,54.6,495000,9066,1906,0,1,,2,0,2,5
Myllypuro,60.5,136000,2248,1977,0,2,,2,0,2,4
Taka-töölö,32.0,195000,6094,1939,1,1,F2007,2,0,1,6
Punavuori,41.0,377000,9195,1936,1,1,,2,0,3,5
Etelä-haaga,45.0,243000,5400,1957,0,1,F2007,2,0,3,3
Vuosaari,46.0,142000,3087,1965,1,1,E2007,2,1,3,3
Sörnäinen,50.0,347000,6940,1927,1,1,,2,0,7,8
Koskela,55.0,165000,3000,1974,1,1,D2007,2,0,4,5
Lauttasaari,56.2,369000,6566,1947,0,1,E2007,2,0,4,4
Sörnäinen,36.0,230000,6389,1937,1,3,,2,0,3,6
Kaartinkaupunki,39.5,302000,7646,1907,0,1,,1,0,1,5
Meilahti,40.0,270000,6750,1945,0,1,E2007,2,0,3,3
Malmi,44.0,195000,4432,2011,0,1,C2013,2,0,1,5
Kuninkaantammi,44.0,243380,5531,2018,1,1,C2013,2,1,3,4
Meilahti,44.0,275000,6250,1939,0,1,E2013,2,0,1,3
Itäkeskus,45.5,177400,3899,2001,0,1,,2,1,2,6
Kallio,53.0,296000,5585,1928,0,1,,2,0,6,8
Katajanokka,55.0,285000,5182,1985,0,1,E2007,2,0,2,5
Kannelmäki,55.6,118300,2128,1974,0,2,,2,0,1,2
Ullanlinna,63.0,460000,7302,1933,0,2,,2,0,2,5
Lauttasaari,50.0,350000,7000,1961,1,1,E2007,2,0,4,5
Roihuvuori,51.5,196000,3806,1956,0,1,E,2,0,3,4
Arabianranta,54.0,310000,5741,2003,1,1,,2,1,3,7
Oulunkylä,37.5,169000,4507,1957,0,2,D2007,2,0,4,4
Malmi,42.0,158000,3762,1986,0,2,,2,0,3,4
Käpylä,43.0,240000,5581,1952,0,1,F2013,2,0,2,4
Alppiharju,44.0,220000,5000,1971,1,3,E2007,2,0,2,6
Aurinkolahti,57.5,320000,5565,2012,1,1,B,2,1,4,6
Pukinmäki,60.0,182000,3033,1985,0,2,,2,1,3,3
Kannelmäki,40.5,170000,4198,1958,0,2,G2013,2,0,3,3
Etu-töölö,87.0,620000,7126,1929,0,1,,2,1,8,8
Puotila,47.5,141000,2968,1961,0,3,,2,0,2,3
Vuosaari,51.0,143000,2804,1965,0,1,,2,0,3,8
Etelä-haaga,42.0,220000,5238,1956,0,2,E2013,2,0,2,3
Etelä-haaga,41.5,192000,4627,1962,0,1,F2013,2,0,1,3
"Viikinranta, vanhakaupunki, viikki",49.5,298000,6020,2009,0,1,,2,1,2,5
Pikku huopalahti,51.0,275000,5392,1995,0,1,,2,1,3,3
Kontula,59.5,104819,1762,1967,0,2,,2,0,3,8
Taka-töölö,69.0,389000,5638,1938,1,2,F2013,2,0,3,6
Kamppi,77.0,822500,10682,1891,0,1,,2,1,3,6
Laajasalo,48.5,163000,3361,1973,0,1,,2,1,4,10
Kannelmäki,53.5,155000,2897,1981,1,2,F2013,2,1,5,5
Vuosaari,56.0,170000,3036,1965,0,1,,2,0,3,4
Lauttasaari,63.0,359000,5698,1953,0,1,G2013,2,1,1,4
Katajanokka,64.0,642386,10037,2018,1,1,,2,1,1,7
Ullanlinna,35.0,295000,8429,1927,1,2,E2012,2,0,4,5
Vuosaari,47.5,165000,3474,1993,1,1,,2,1,3,5
Etu-töölö,49.0,374000,7633,1926,1,1,F2013,2,0,5,6
Ullanlinna,50.5,1678000,33228,1908,0,1,,1,0,5,5
Pukinmäki,53.5,209000,3907,1985,1,1,,2,0,3,5
Roihuvuori,42.0,150000,3571,1965,1,2,E,2,0,5,8
Mellunmäki,45.0,128000,2844,1976,0,1,G2013,2,0,1,3
Etelä haaga,51.0,157000,3078,1965,0,2,,2,0,4,4
Mellunmäki,52.5,125000,2381,1974,1,2,E2007,2,0,2,5
Pohjois-haaga,57.4,147000,2561,1973,1,2,E2013,2,0,6,6
Kamppi,58.5,460000,7863,2016,1,1,A2016,2,0,3,7
Munkkiniemi,61.0,325000,5328,1940,1,1,D2007,2,0,4,4
Mellunmäki,52.0,159000,3058,1983,0,1,,2,1,3,5
Alppiharju,37.0,229000,6189,1961,1,3,C2018,2,1,6,8
Munkkiniemi,42.5,355875,8374,2019,1,1,C2016,2,0,5,9
Ullanlinna,43.0,365500,8500,1929,1,2,F2014,2,0,2,7
Ruskeasuo,44.0,240000,5455,1949,0,2,D2007,2,0,3,3
Taka-töölö,45.0,350000,7778,1954,1,1,F2007,2,0,7,7
Munkkiniemi,47.0,331000,7043,1959,1,1,,2,0,2,6
Kallio,50.0,250000,5000,1940,1,2,F2013,2,0,5,7
Vallila,51.0,300000,5882,1953,1,1,E2013,2,0,6,7
Alppila,52.5,304000,5790,1962,1,1,,2,0,5,8
Munkkiniemi,55.0,349000,6345,1952,1,1,F2018,2,0,3,6
Laajasalo,57.0,228000,4000,1966,0,1,E2013,2,0,2,3
Kamppi,58.0,415000,7155,1981,1,1,E2013,2,0,4,7
Pihlajisto,59.5,129700,2180,1972,1,2,F,2,1,1,8
Oulunkylä,59.5,206000,3462,1978,0,2,F2013,2,0,2,2
Roihuvuori,61.5,237000,3854,1958,0,1,G2013,2,0,1,3
Munkkiniemi,80.0,484000,6050,1936,1,1,G2013,2,0,2,5
Kontula,43.5,112500,2586,1969,1,2,G2013,2,0,1,9
Punavuori,44.5,348000,7820,1984,1,1,F2013,2,0,6,7
Vuosaari,46.0,139000,3022,1965,0,2,F2007,2,1,3,3
Vuosaari,48.0,139000,2896,1965,1,2,E2007,2,0,1,3
Malmi,49.0,120000,2449,1966,0,2,F2013,2,0,1,3
Kamppi,51.5,370000,7184,1989,1,1,E2007,2,1,4,6
Lauttasaari,55.0,289000,5255,1965,0,1,F2018,2,0,2,3
Talinranta,56.0,222000,3964,1995,1,2,F2013,2,1,2,3
Katajanokka,60.0,590000,9833,2019,1,1,,2,1,4,7
Ullanlinna,65.0,414000,6369,1941,1,1,E2007,2,0,3,5
Vallila,33.0,204000,6182,1942,1,2,E2007,1,0,4,4
Ruskeasuo,34.5,210000,6087,1950,0,2,,2,0,1,4
Pohjois-haaga,45.0,168000,3733,1972,1,1,D2007,2,0,2,3
Lauttasaari,46.5,297000,6387,1952,0,1,E2012,2,0,1,4
Munkkisaari,54.0,439000,8130,1909,0,1,G2013,2,0,5,5
Kivihaka,55.0,232000,4218,1961,0,1,E2007,2,0,1,4
Arabianranta,56.5,345000,6106,2007,1,1,,2,1,3,8
Pikku-huopalahti,61.0,294000,4820,1994,0,1,F2013,2,1,1,3
Jätkäsaari,39.0,300000,7692,2019,1,1,C2019,2,1,2,8
Kivihaka,39.5,187000,4734,1962,0,1,E2013,2,0,4,4
Maunula,53.7,202000,3762,1953,0,2,,2,1,2,3
Vuosaari,55.5,170000,3063,1965,0,1,F2007,2,1,2,4
Merihaka,64.0,325000,5078,1985,1,2,E2019,2,1,2,14
Itäkeskus,58.5,140000,2393,1977,0,2,,2,0,1,3
Käpylä,38.5,215000,5584,1940,0,2,G,2,0,3,3
Kannelmäki,43.0,153000,3558,1961,0,2,E2007,2,0,2,4
Munkkivuori,52.0,250000,4808,1957,0,1,E2013,2,1,4,4
Kulosaari,54.0,300000,5556,1959,0,1,F,2,0,4,4
Pitäjänmäki,58.0,189000,3259,1988,1,2,F2013,2,0,1,5
Siltamäki,63.0,117000,1857,1972,0,2,G2013,2,0,1,3
Meilahti,42.0,290000,6905,1945,0,1,,2,0,7,7
Konala,50.0,162000,3240,1964,0,2,F2013,2,0,2,3
Kamppi,54.0,328000,6074,1956,1,2,D2013,2,1,3,8
Pihlajamäki,60.0,130000,2167,1964,0,2,E2007,2,0,1,4
Etelä-haaga,46.0,220000,4783,1960,0,1,E2007,2,0,3,3
Ruskeasuo,49.3,289000,5862,1951,0,1,E2013,2,0,2,3
Vuosaari,53.5,156000,2916,1965,0,1,F2013,2,0,1,3
Puotila,55.0,159000,2891,1961,0,2,F2013,2,0,2,3
Oulunkylä,61.0,213000,3492,1971,0,1,D2007,2,1,3,3
Hakaniemi,36.5,287000,7863,1928,1,3,G2013,2,0,4,7
Kallio,42.0,202000,4810,1963,1,3,,2,0,5,6
Pasila,45.0,309800,6884,2019,1,1,C,2,0,7,12
Vuosaari,47.0,160000,3404,1965,1,1,F2007,2,1,4,4
Vallila,47.0,256000,5447,1946,1,1,F2013,2,0,1,4
Kallio,34.0,231222,6801,1938,1,1,E2007,2,0,3,4
Viikki,50.5,242500,4802,2015,1,1,C2013,2,0,4,4
Munkkivuori,54.6,231000,4231,1957,0,3,,2,0,3,4
Koskela,55.0,158000,2873,1973,1,2,D2007,2,0,3,5
Malmi,55.0,230000,4182,2011,0,1,D,2,1,2,2
Kannelmäki,49.5,161000,3253,1959,0,2,E2018,2,0,3,3
Suurmetsä,50.5,113000,2238,1972,0,1,F2013,2,0,2,3
Siltamäki,41.5,110000,2651,1970,0,1,E2007,2,0,2,2
Kannelmäki,48.5,251000,5175,2005,1,1,F2013,2,0,6,6
Kannelmäki,49.5,162000,3273,1959,0,2,E2018,2,0,4,4
Kuninkaantammi,51.0,247000,4843,2019,1,1,C2013,2,1,4,4
Myllypuro,54.0,163326,3025,1965,0,2,F2013,2,0,4,4
Kivihaka,55.0,218000,3964,1961,0,2,E2007,2,0,3,4
Jakomäki,58.5,140000,2393,1980,0,1,C,2,0,2,3
Katajanokka,94.0,630000,6702,1906,0,1,D2018,2,0,2,4
Meilahti,36.0,236000,6556,1946,0,1,G2013,2,0,4,5
Etelä-haaga,42.5,227829,5361,1959,0,1,,2,0,3,4
Kamppi,43.0,280000,6512,1939,1,2,F2013,2,0,3,5
Konala,46.0,183000,3978,1960,0,1,,2,0,2,3
Etu-töölö,47.0,370000,7872,1927,1,1,F2013,2,0,5,6
Herttoniemi,48.0,186533,3886,1998,1,2,F2018,2,1,1,6
Kallio,48.0,348500,7260,1927,1,2,F2013,2,0,4,6
Kannelmäki,48.6,172090,3541,1960,0,2,E2007,2,0,1,3
Kamppi,51.0,555000,10882,2005,1,1,D2007,2,0,7,9
Herttoniemi,56.5,270000,4779,1956,0,1,F2013,2,1,4,4
Meilahti,43.0,280000,6512,1945,1,2,E2013,2,0,5,7
Katajanokka,50.0,486000,9720,2018,1,1,,2,1,2,7
Haaga,59.0,178000,3017,1972,1,2,D2007,2,0,1,6
Munkkiniemi,59.0,395000,6695,1954,1,1,E2007,2,0,4,4
Herttoniemi,42.0,229000,5452,1955,0,1,F,2,0,4,4
Mellunmäki,48.0,110000,2292,1970,0,2,,2,0,2,5
Pihlajisto,50.5,135000,2673,1975,1,2,D2007,2,0,2,7
Roihuvuori,51.5,199000,3864,1956,0,1,E,2,0,4,4
Kruununhaka,67.3,523000,7771,1926,1,1,G2013,2,0,6,7
Ullanlinna,54.1,440000,8133,1928,0,1,,2,0,3,7
Vallila,40.0,214000,5350,1925,0,1,F2007,2,0,4,4
Pasila,45.0,249650,5548,2019,1,1,C2007,2,0,5,8
Konala,47.0,174000,3702,1963,0,1,,2,1,3,3
Kallio,53.0,350000,6604,1927,1,2,F2013,2,0,2,7
Kontula,57.0,111000,1947,1965,1,2,G2013,2,0,7,7
Herttoniemenranta,59.5,397000,6672,2001,1,1,F,2,0,3,4
Pihlajamäki,60.0,112000,1867,1964,0,2,E,2,0,3,4
Etelä-haaga,41.0,225000,5488,1961,0,2,F2007,2,0,2,3
Taka-töölö,46.0,326000,7087,1937,1,2,F2013,2,0,5,7
Pihlajamäki,60.0,163000,2717,1964,0,2,E2007,2,0,4,4
Oulunkylä,54.0,170000,3148,1965,0,2,,2,0,1,3
Pajamäki,54.0,210000,3889,1960,0,1,D2007,2,0,1,4
Lauttasaari,49.0,315000,6429,1955,0,1,E2007,2,0,1,4
Näkinpuisto,51.5,335400,6513,1988,1,2,E2013,2,1,4,7
Myllypuro,55.0,147000,2673,1965,1,2,E2013,2,0,2,5
Viikki,58.5,270000,4615,2015,1,1,C2013,2,0,3,4
Taka-töölö,47.5,317000,6674,2000,1,1,D2007,2,1,2,7
Kallio,51.6,290000,5620,1926,1,1,D2007,2,0,6,6
Torkkelinmäki,76.7,541100,7055,1928,0,1,E2007,2,0,3,5
Etelä-haaga,43.0,218449,5080,1957,0,1,E2007,2,0,4,4
Mellunmäki,55.0,90000,1636,1968,0,3,,2,0,2,3
Pihlajisto,55.5,129000,2324,1978,0,1,F2007,2,1,2,4
Kamppi,38.0,312000,8211,1963,1,1,F2013,2,0,4,5
Pihlajamäki,55.5,162599,2930,1964,0,1,E2007,2,0,2,3
Taka töölö,48.0,300000,6250,1937,0,1,,2,0,6,6
Vallila,40.5,194000,4790,1956,0,2,F2013,2,0,2,3
Kulosaari,44.0,260000,5909,1960,1,1,F2013,2,0,3,4
Katajanokka,44.5,271000,6090,1908,0,2,,2,0,3,3
Herttoniemi,45.0,262000,5822,1957,0,1,F,2,0,2,2
Malmi,53.0,150000,2830,1965,0,2,F2013,2,0,3,3
Roihuvuori,53.0,155000,2925,1963,0,3,G2007,2,0,1,3
Sörnäinen,54.5,331000,6073,2002,1,1,,2,1,7,9
Punavuori,55.0,429000,7800,1957,1,1,E2013,2,0,2,6
Töölö,58.0,423000,7293,1936,1,2,E2013,2,0,5,6
Malmi,58.5,190000,3248,1989,0,2,F,2,1,2,2
Töölö,60.5,380000,6281,1929,1,1,,2,0,4,6
Mellunmäki,63.5,118000,1858,1968,0,1,E2007,2,0,2,3
Laajasalo,39.0,170000,4359,1965,1,2,F2013,2,0,1,3
Roihuvuori,41.0,154000,3756,1957,1,2,E2013,2,0,4,4
Punavuori,44.0,356000,8091,1938,1,1,F2013,2,0,5,5
Lauttasaari,49.0,260000,5306,1970,1,2,E2013,2,0,6,7
Lauttasaari,53.0,275000,5189,1950,1,2,D2007,2,0,4,4
Kannelmäki,55.0,202334,3679,1960,1,2,D2013,2,0,4,8
Tapanila,55.5,207000,3730,2011,1,1,B2007,2,1,3,4
Pihlajamäki,60.0,125000,2083,1965,0,1,E2007,2,0,4,4
Lauttasaari,60.0,270000,4500,1974,0,2,,2,0,1,7
Taka-töölö,78.0,410000,5256,1937,1,2,E2007,2,0,5,6
Eiranranta,78.0,710000,9103,2007,1,1,F2014,2,0,4,8
Sörnäinen,98.0,680000,6939,1928,0,1,,2,0,9,9
Oulunkylä,31.5,175000,5556,1906,0,1,C2007,2,0,2,2
Herttoniemi,34.0,200000,5882,1952,0,1,D2007,2,0,3,3
Käpylä,41.0,208000,5073,1950,0,1,G2013,2,0,4,4
Puotila,47.0,145000,3085,1960,0,1,,2,0,3,3
Taka-töölö,48.0,350000,7292,1939,0,1,E,2,0,3,3
Pohjois-haaga,53.3,221000,4146,1955,1,2,D2018,2,0,1,4
Malminkartano,60.0,175000,2917,1984,0,1,,2,0,1,3
Alppila,39.0,250000,6410,1961,1,1,F2018,2,0,3,4
Punavuori,39.0,300000,7692,1938,1,1,F2013,2,0,3,4
Kaarela,41.0,188000,4585,1959,0,1,E2007,2,0,3,4
Hermanni,47.0,260000,5532,1958,0,1,G,2,0,2,4
Ullanlinna,50.6,387000,7648,1957,1,2,F2013,2,0,1,8
Oulunkylä,52.0,176000,3385,1967,0,1,F2007,2,0,2,3
Patola,56.2,144000,2562,1975,0,2,E2007,2,0,2,3
Mellunmäki,48.0,130000,2708,1974,1,1,E2007,2,1,3,9
Aurinkolahti,48.0,235000,4896,2004,0,2,,2,1,5,6
Tapanila,50.5,223000,4416,1966,0,1,E2007,2,0,2,3
Ullanlinna,50.5,381000,7545,1935,1,1,F2007,2,0,1,5
Itä-pasila,52.5,208000,3962,1975,0,2,,2,0,1,8
Pihlajisto,52.8,117000,2216,1974,0,2,D2007,2,0,2,4
Maunula,56.6,210000,3710,1963,1,1,,2,0,2,4
Töölö,64.0,405000,6328,1929,1,2,F,2,0,5,6
Maunula,65.0,232933,3584,1952,0,2,E2007,2,0,2,3
Munkkivuori,49.0,220000,4490,1956,1,2,E2007,2,0,1,7
Sörnäinen,50.0,269000,5380,1962,1,1,,2,0,7,8
Kannelmäki,54.0,217000,4019,1961,0,1,E2007,2,0,3,3
Kruununhaka,58.0,360000,6207,1926,0,1,E2007,2,0,3,5
Meilahti,61.5,350000,5691,1942,1,2,F2013,2,0,6,6
Taka-töölö,63.5,450000,7087,1942,0,1,F,2,0,3,3
Malminkartano,65.0,135000,2077,1982,0,2,,2,0,3,4
Kamppi,31.0,260000,8387,1961,1,2,E2007,2,0,5,7
Taka-töölö,50.0,375000,7500,1942,0,1,E2007,2,0,2,3
Puotinharju,51.5,167500,3252,1963,1,2,E2007,2,0,5,9
Kallio,58.0,302000,5207,1926,1,1,D2007,2,0,7,7
Laakso,42.9,344000,8019,1951,1,1,,2,0,8,8
Maunula,47.0,153000,3255,1962,1,2,E2007,2,0,4,4
Munkkivuori,52.0,210000,4038,1957,0,1,G2007,2,0,1,4
Kannelmäki,60.0,220000,3667,1960,0,1,E2007,2,0,2,4
Malmi,48.0,225000,4688,2011,1,1,C2013,2,0,7,7
Siltamäki,48.5,133000,2742,1969,0,2,F,2,0,1,2
Alppila,55.0,235000,4273,1963,1,2,E2007,2,0,4,4
