Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Mellunkylä,24.0,131000,5458,2018,0,1,,1,0,1,4
Käpylä,26.0,186000,7154,1943,0,2,G2013,1,0,3,3
Puotila,27.0,131000,4852,1961,0,1,,1,0,3,3
Roihuvuori,31.0,130000,4194,1957,0,2,E2007,1,0,4,4
Pihlajisto,32.5,126000,3877,1975,1,2,D2007,1,0,3,7
Mellunmäki,35.0,88000,2514,1976,0,2,G2007,1,0,3,3
Mellunkylä,36.5,164000,4493,2018,1,1,C,1,0,4,4
Lauttasaari,26.0,234000,9000,1970,1,1,E2007,1,0,4,7
Tapaninvainio,28.0,141500,5054,1971,0,1,E2007,1,0,3,3
Länsi-pasila,33.5,200000,5970,1981,1,2,F2013,1,0,2,4
Lauttasaari,29.5,193000,6542,1959,0,1,G2013,1,0,2,4
Lauttasaari,29.5,209000,7085,1963,1,1,E2007,1,0,3,4
Punavuori,29.0,233001,8035,1961,0,2,,1,0,2,5
Vuosaari,37.5,130000,3467,1967,1,2,F,1,0,4,7
Lauttasaari,30.0,185000,6167,1954,1,3,F2007,1,0,1,4
Kallio,51.0,280000,5490,1932,1,2,,1,0,3,7
Kallio,32.1,203000,6324,1937,1,1,,1,1,6,8
Mellunmäki,24.0,134500,5604,2018,0,1,,1,0,3,4
Pasila,30.0,187480,6249,2019,1,1,C2007,1,0,5,8
Itäkeskus,31.0,119700,3861,1998,1,1,F2013,1,1,4,5
Etelä-haaga,33.0,205000,6212,1957,0,2,D2007,1,0,3,3
Torkkelinmäki,36.2,232000,6409,1928,0,2,,1,0,3,4
Vallila,32.0,213000,6656,1953,1,1,,1,0,6,7
Itä-pasila,27.5,139500,5073,1976,1,2,F2013,1,0,5,7
Kallio,21.0,174000,8286,1939,1,1,E2007,1,0,3,4
Etelä-haaga,32.0,203000,6344,1957,0,2,D2007,1,0,2,3
Kallio,45.0,270000,6000,1910,0,2,E2013,2,0,4,4
Etu-töölö,25.0,240000,9600,1913,1,1,F,1,0,2,7
Harju,29.0,156000,5379,1936,1,2,,1,0,4,6
Kruununhaka,48.5,349000,7196,1890,0,1,G2013,1,0,1,3
Vallila,22.0,185000,8409,1938,0,1,G2013,1,0,3,3
Patola,34.3,113000,3294,1975,0,2,E2013,1,0,1,3
Punavuori,27.0,221000,8185,1963,1,1,F2013,1,0,1,8
Puotinharju,27.5,125000,4545,1965,1,2,F2018,1,0,2,8
Näkinpuisto,30.0,232000,7733,1990,1,2,,1,0,2,7
Punavuori,41.5,320000,7711,1929,1,2,F2013,1,0,2,4
Siltasaari,54.0,435000,8056,1910,1,2,D2007,2,0,3,5
Lauttasaari,26.0,197000,7577,1960,1,2,G2013,1,0,4,4
Pitäjänmäki,32.5,125000,3846,1974,1,1,,1,1,3,5
Alppila,37.0,235000,6351,1955,0,1,E2007,1,0,3,4
Tapaninkylä,37.5,145000,3867,1984,0,2,F,1,1,2,2
Kannelmäki,27.0,140000,5185,1959,0,2,F2013,1,0,4,4
Maunula,32.0,158000,4938,1962,1,2,,1,0,2,6
Ullanlinna,38.0,272000,7158,1907,0,2,,1,0,3,5
Taka-töölö,35.0,215000,6143,1954,1,3,F2007,1,0,3,8
Vallila,40.0,249000,6225,1925,0,1,,1,0,1,4
Kallio,30.0,178000,5933,1959,1,2,,1,0,6,8
Kallio,30.0,224000,7467,1962,1,1,F2013,1,0,4,8
Ullanlinna,29.0,217000,7483,1927,1,2,G2013,1,0,2,5
Vuosaari,25.7,124000,4825,1964,1,2,,1,0,4,5
Alppiharju,28.0,228000,8143,1932,1,2,D2007,1,0,5,7
Puotinharju,29.0,126000,4345,1964,1,1,D2018,1,0,7,7
Pukinmäki,36.5,150000,4110,1990,0,1,E2007,1,0,3,3
Etu-töölö,40.0,347000,8675,1928,1,1,F2013,1,0,5,6
Länsi-pakila,21.5,126000,5860,1918,0,2,F2013,1,0,2,3
Taka-töölö,27.0,230000,8519,1936,1,1,F,1,0,1,6
Pihlajamäki,34.5,110000,3188,1964,1,2,G,1,0,8,8
Taka-töölö,40.3,290000,7196,1928,1,2,E2007,1,0,4,6
Punavuori,23.0,175000,7609,1936,1,2,E2018,1,0,2,4
